lower_ratio,links,special_characters,class
0.6126144624843339,0.0,0.0020865936358894104,ham
0.5882694674015253,0.0,0.520605112154408,spam
0.6902906284524323,0.0,0.0020865936358894104,ham
0.791631591257831,0.6666666666666666,0.02034428794992175,ham
0.9167383232069579,0.0,0.054773082942097026,spam
0.7493601099750563,0.0,0.01773604590505999,ham
0.899017881955963,0.6666666666666666,0.01773604590505999,ham
0.792003130505354,0.6666666666666666,0.020865936358894107,ham
0.8756649827343169,0.0,0.0010432968179447052,spam
0.884782096985454,0.6666666666666666,0.023995826812728223,ham
0.6176685530762007,0.0,0.05581637976004173,spam
0.7282429584730322,0.0,0.17005738132498696,spam
0.8128114786557991,0.0,0.1278038601982264,spam
0.9127561642160761,0.0,0.005216484089723527,ham
0.6659918913102498,0.0,0.18935837245696402,spam
0.853070446268589,0.6666666666666666,0.02034428794992175,ham
0.580687776394662,0.0,0.007303077725612937,ham
0.7036837035094589,0.0,0.009389671361502348,spam
0.7295927826479536,0.6666666666666666,0.03338549817423057,ham
0.808094719136934,0.6666666666666666,0.027125717266562335,spam
0.8777975356267671,0.0,0.0,ham
0.4846616149521229,0.0,0.0,spam
0.8775172936246534,0.6666666666666666,0.027125717266562335,ham
0.6913216473296271,0.0,0.0020865936358894104,ham
0.8711107298690688,0.0,0.005738132498695879,spam
0.7096531961441037,0.6666666666666666,0.01617110067814293,ham
0.8409762625368635,0.6666666666666666,0.022430881585811163,ham
0.7878772721566281,0.6666666666666666,0.026604068857589983,ham
0.9087388101726126,0.6666666666666666,0.02556077203964528,ham
0.8490214541370288,0.0,0.02190923317683881,spam
0.4805648498537406,0.0,0.0,spam
0.765018914067707,0.6666666666666666,0.023474178403755867,ham
0.7869774560698494,0.6666666666666666,0.02190923317683881,ham
0.44225946444626485,0.0,0.20083463745435576,spam
0.7725669075814263,0.0,0.0,ham
0.6790616435078427,0.0,0.027125717266562335,spam
0.9561155935506275,0.6666666666666666,0.01564945226917058,ham
0.6107689197759928,0.0,0.0,ham
0.7424098154228633,0.0,0.0,ham
0.6156106782299435,0.0,0.0,ham
0.8842323200172749,0.6666666666666666,0.019300991131977047,spam
0.4369732711966581,0.0,0.6901408450704225,spam
0.483300679201565,0.0,0.43661971830985913,spam
0.7818024861244818,0.6666666666666666,0.020865936358894107,ham
0.8040195440343343,0.6666666666666666,0.056338028169014086,ham
0.7463268498922321,0.0,0.02034428794992175,ham
0.5691331767967013,0.0,0.22639540949400105,spam
0.8803792510557175,0.0,0.018779342723004695,ham
0.7420851776673165,0.6666666666666666,0.023474178403755867,ham
0.4814835909966975,0.0,0.0010432968179447052,spam
0.8886865081660198,0.0,0.001564945226917058,spam
0.7750533441051444,0.6666666666666666,0.022430881585811163,ham
0.6727703477520431,0.0,0.16014606155451225,spam
0.8176145995832557,0.6666666666666666,0.019300991131977047,ham
0.7704272809230498,0.0,0.00782472613458529,spam
0.7688339036549904,0.6666666666666666,0.013562858633281168,ham
0.8622476986294535,0.6666666666666666,0.0396452790818988,ham
0.7768725415668081,0.6666666666666666,0.019300991131977047,ham
0.7309701626503551,0.6666666666666666,0.04121022430881586,ham
0.7522275712956866,0.0,0.07407407407407407,spam
0.78428738015414,0.0,0.0,ham
0.5801630522111604,0.0,0.0020865936358894104,ham
0.5266156596957215,0.0,0.03390714658320292,spam
0.6888773648766309,0.0,0.008346374543557642,spam
0.7796694895123629,0.0,0.0020865936358894104,spam
0.6515641315521769,0.0,0.0005216484089723526,ham
0.7738332522094773,0.0,0.0020865936358894104,ham
0.880358423332413,0.0,0.0,ham
0.7801420296383713,0.0,0.0,ham
0.4152089033564074,0.0,0.05529473135106938,spam
0.6534234432387106,0.0,0.1904016692749087,spam
0.7198624134057051,0.6666666666666666,0.01564945226917058,ham
0.7035573976080362,0.6666666666666666,0.08294209702660407,ham
0.6271058540260479,0.0,0.0005216484089723526,ham
0.8837045663255958,0.0,0.0026082420448617634,spam
0.6602518148473606,0.0,0.0020865936358894104,ham
0.6533183082679045,0.0,0.4209702660406886,spam
0.7390987291284994,0.0,0.11945748565466875,spam
0.7467594541006964,0.6666666666666666,0.017214397496087636,ham
0.0,0.0,0.0010432968179447052,spam
0.7188468762189582,0.0,0.14919144496609285,spam
