paragraphs,avg_chars_paragraph,word_boundary_ratio,n_word_boundary_ratio,whitespace_ratio,words,max_word_len,digits,upper_ratio,lower_ratio,upper_lower_ratio,avg_digit_length,links,class
0.20454545454545456,0.011779188011315847,0.0024785076745498904,0.00035595911318306626,0.004435227029164554,0.06869239631336406,0.0014542969656882285,0.00909014745308311,0.14347512601316195,0.591836510659162,0.011989739993668268,0.24592302674494457,0.0,spam
0.06818181818181818,0.04545266411341799,0.0010802289929430571,0.00014515404944483648,0.0016882004700490508,0.1571860599078341,0.0003329113535912812,0.017258713136729224,0.050455569265075974,0.5062410754807161,0.005239336324518223,0.12422360248447206,0.0,spam
0.09090909090909091,0.015121528877626437,0.002620991097875643,0.0004240479357111219,0.004605998987722967,0.03780241935483871,0.00030224846576050533,0.0023458445040214475,0.07544966530898138,0.7390987291284994,0.005133096162424931,0.10344827586206895,0.0,spam
0.09848484848484848,0.015284158659768414,0.003108316999555486,0.0003798670915374021,0.00850020555058559,0.04097062211981567,0.0005431711558594589,0.0005864611260053619,0.026116348724349488,0.9167383232069579,0.0013979523952999855,0.7142857142857143,0.0,spam
0.07575757575757576,0.006345405272234541,0.003373035762534075,0.0004207430157535974,0.008500424696868217,0.013824884792626729,0.0001708360893428943,0.0013404825737265416,0.2291852810451435,0.7036837035094589,0.01603203101478296,0.14705882352941174,0.0,spam
0.08333333333333333,0.016731366194780828,0.0051601665706077805,0.0009276990935190152,0.010399573653653169,0.021241359447004608,0.000613257756615518,0.003351206434316354,0.08114339035859586,0.7282429584730322,0.005595744641449499,0.2177700348432056,0.0,spam
0.11363636363636363,0.03914734141993826,0.0016449621075495802,0.00024254987377972533,0.0029144266939273794,0.1617943548387097,0.00038547630415832564,0.020609919571045576,0.032927835156484744,0.5932601552418696,0.0030166054171932603,0.1451706188548294,0.0,spam
0.007575757575757576,0.021380635624538062,0.01332428919914047,0.0022222334277758604,0.013466440543084157,0.0024481566820276496,0.00026720516538247574,0.003183646112600536,0.0388681779993027,0.7503667352245663,0.002669646263614341,0.0695970695970696,0.0,spam
0.030303030303030304,0.03100468095590047,0.0023218616200881875,0.00022952035455929348,0.007522058292872437,0.042194700460829494,5.69453631142981e-05,0.00046079088471849864,0.015037538416714848,0.968448420298402,0.0007228244251036619,0.17582417582417584,0.0,spam
0.045454545454545456,0.0955761271249076,0.001193574494322373,0.0001976694488614023,0.00219003299285217,0.21046947004608296,0.0003679546539693108,0.011561662198391422,0.03556262610999641,0.6277983616524815,0.0030286689535675695,0.18499486125385406,0.0,spam
0.1893939393939394,0.014504831512961594,0.0030745702615216637,0.0005015025289034372,0.006009176800848129,0.062355990783410135,0.00035043300378029605,0.006618632707774799,0.1415539310015259,0.6675277065930654,0.010513535119965568,0.2330357142857143,0.0,spam
0.030303030303030304,0.04357772850455777,0.0030297591911409958,0.0005679731802989179,0.004161923106366369,0.03701036866359447,0.00044680207981987743,0.002848525469168901,0.26377118557302454,0.5056885349126832,0.025211768660803154,0.16530612244897958,0.6666666666666666,spam
0.12121212121212122,0.005480988749281432,0.005205014687739818,0.0007249587284149065,0.008889402332548863,0.01238479262672811,0.0009023649847342622,0.006786193029490617,0.20325572515432933,0.4311417323006155,0.022670748495310634,0.021777003484320545,0.0,spam
0.09090909090909091,0.009853447365642486,0.002597418280656959,0.00028582020294729796,0.008216287361388434,0.03024193548387097,9.19886634923277e-05,0.0015080428954423592,0.02103208834231747,0.9370393598708902,0.0010856822724867434,0.1879699248120301,0.0,spam
0.12878787878787878,0.0028972653362897265,0.0027786108741448393,0.0004427888101493224,0.008146163939707083,0.01231278801843318,0.00021902062736268502,0.00041890080428954424,0.014330686542661144,0.9735411378171568,0.0006795870316355842,0.23809523809523808,0.0,spam
0.015151515151515152,0.009036954915003694,0.006386291624553212,0.000944458140805327,0.009053215977026765,0.0031682027649769587,0.0001576948517011332,0.0014661528150134047,0.20704791875487913,0.5685126721443039,0.01781622148562697,0.14285714285714285,0.0,spam
0.29545454545454547,0.005175851315054171,0.005032644875197694,0.0008151438533132463,0.010650539529443486,0.025993663594470046,0.00045994331746163856,0.006409182305630027,0.06298152274409095,0.7590271802708973,0.004186171191880835,0.0608294930875576,0.0,spam
0.09848484848484848,0.015284158659768414,0.003108316999555486,0.0003798670915374021,0.00850020555058559,0.04097062211981567,0.0005431711558594589,0.0005864611260053619,0.026116348724349488,0.9167383232069579,0.0013979523952999855,0.7142857142857143,0.0,spam
0.045454545454545456,0.011691056910569105,0.005734030939477377,0.0009124828287490204,0.009569316871431519,0.009000576036866359,0.00017521650189014802,0.001885053619302949,0.0704207170013269,0.8172438409732533,0.004303984488982711,0.17325227963525838,0.6666666666666666,spam
0.06818181818181818,0.06237559631794663,0.0004746418554089739,6.158636122186034e-05,0.0008318663150375525,0.29701900921658986,0.0002759659904769831,0.019562667560321715,0.057932920819903484,0.4575278080998936,0.006575321267587745,0.08346024977155042,0.0,spam
0.015151515151515152,0.02629563932002956,0.007395483472490257,0.0012551334855208595,0.007690431362932592,0.00734447004608295,0.0001839773269846554,0.002471514745308311,0.22846116734600097,0.6133318148315119,0.018248848697604337,0.21311475409836067,0.0,spam
0.045454545454545456,0.00377790096082779,0.0032533319197668585,0.00045326687005296324,0.00841064519156037,0.00576036866359447,0.0001576948517011332,0.0009634718498659517,0.0786126231231645,0.7796694895123629,0.0050458211524427475,0.2342857142857143,0.0,spam
