paragraphs,avg_chars_paragraph,word_boundary_ratio,n_word_boundary_ratio,whitespace_ratio,words,max_word_len,digits,upper_ratio,lower_ratio,upper_lower_ratio,avg_digit_length,links,class
3,2007.3333333333333,0.9799392097264438,2.683890577507599,0.23161094224924011,1645,106,96,0.09707932293395287,0.41603053435114506,0.23334662943757478,2.9375,1,spam
7,119.28571428571429,2.816326530612245,5.836734693877551,1.0714285714285714,98,80,22,0.16056670602125148,0.5112160566706021,0.3140877598152425,2.0,1,ham
6,376.3333333333333,2.527027027027027,5.138513513513513,1.0574324324324325,296,73,21,0.09038800705467372,0.626984126984127,0.1441631504922644,1.9523809523809523,5,ham
7,174.42857142857142,4.133333333333334,7.619047619047619,1.2,105,105,24,0.09002433090024331,0.6334144363341444,0.14212548015364918,1.6666666666666667,5,ham
9,115.11111111111111,3.073170731707317,5.487804878048781,1.1869918699186992,123,55,5,0.0741444866920152,0.6901140684410646,0.10743801652892562,1.0,1,ham
9,263.44444444444446,3.0080645161290325,6.620967741935484,1.0241935483870968,248,72,34,0.13112693757855048,0.6087138667783829,0.21541637990364762,2.1176470588235294,5,ham
10,208.5,3.0776699029126213,7.135922330097087,1.0970873786407767,206,127,18,0.039942938659058486,0.6409890632429862,0.06231454005934718,2.4444444444444446,5,ham
11,182.0,2.7385892116182573,5.655601659751038,0.9875518672199171,241,71,20,0.076162215628091,0.6493570722057369,0.1172886519421173,1.95,5,ham
4,230.5,2.0392156862745097,7.068627450980392,0.6176470588235294,102,70,54,0.28987068965517243,0.28987068965517243,1.0,2.0555555555555554,1,ham
5,80.8,4.277777777777778,7.194444444444445,1.1666666666666667,36,77,21,0.06067961165048544,0.5946601941747572,0.10204081632653061,1.7142857142857142,1,ham
6,269.3333333333333,3.2625,6.90625,1.10625,160,78,20,0.08364083640836409,0.6574415744157441,0.12722170252572498,1.9,5,ham
4,88.0,4.0,7.966666666666667,1.2,30,77,12,0.0893854748603352,0.5977653631284916,0.14953271028037382,2.1666666666666665,1,ham
5,447.8,4.344370860927152,10.543046357615895,1.205298013245033,151,133,40,0.06942590120160214,0.6573208722741433,0.10561949898442789,2.075,5,ham
7,134.0,2.3636363636363638,5.4958677685950414,0.9008264462809917,121,55,8,0.06210526315789474,0.6421052631578947,0.09672131147540984,1.875,1,ham
10,190.5,3.688622754491018,7.832335329341317,1.1796407185628743,167,73,39,0.10972438897555903,0.608424336973479,0.18034188034188034,1.8205128205128205,5,ham
15,198.46666666666667,2.5843373493975905,6.469879518072289,0.9126506024096386,332,116,69,0.08186356073211315,0.5633943427620632,0.14530419373892497,2.8550724637681157,5,ham
11,201.72727272727272,2.7756653992395437,5.741444866920152,1.079847908745247,263,80,15,0.06654756587762393,0.7007592675301474,0.09496494582536648,1.8,5,ham
19,277.0,2.354609929078014,5.163120567375887,1.0425531914893618,705,208,14,0.02226835251934327,0.7354217776939045,0.030279702335129586,2.357142857142857,5,ham
8,237.0,3.945945945945946,8.966216216216216,1.0945945945945945,148,79,41,0.10575916230366492,0.5821989528795811,0.18165467625899281,2.4390243902439024,5,ham
4,94.25,3.757575757575758,7.878787878787879,1.1818181818181819,33,77,12,0.08093994778067885,0.6214099216710183,0.13025210084033614,2.1666666666666665,1,ham
4,56.5,10.0,15.88888888888889,1.6666666666666667,9,55,18,0.07327586206896551,0.4827586206896552,0.15178571428571427,2.111111111111111,1,ham
10,202.9,2.862222222222222,6.24,1.0711111111111111,225,74,21,0.07278944797264289,0.6780654616511969,0.10734870317002881,1.7619047619047619,5,ham
11,392.3636363636364,5.152671755725191,11.400763358778626,1.1412213740458015,262,159,148,0.06480627306273062,0.6233856088560885,0.10395856455789863,2.358108108108108,9,ham
24,529.875,2.291521486643438,5.120789779326365,0.5290360046457607,1722,112,617,0.21758207318028677,0.39543994358693096,0.5502278581335447,1.3922204213938412,1,spam
18,328.6111111111111,3.645038167938931,7.709923664122138,1.1965648854961832,524,146,213,0.10892586989409984,0.5563960329467137,0.1957703927492447,2.028169014084507,5,ham
4,105.0,3.4583333333333335,5.4375,1.125,48,57,16,0.07276995305164319,0.596244131455399,0.1220472440944882,2.125,1,ham
6,479.0,2.4829545454545454,5.713068181818182,1.1221590909090908,352,80,25,0.08044382801664356,0.6189320388349514,0.12997198879551822,1.96,5,ham
102,264.5,3.2684563758389262,6.866517524235645,1.157345264727815,2682,130,282,0.03932894301166256,0.6878334130458776,0.05717800599058622,1.946808510638298,1,spam
6,383.1666666666667,3.564766839378238,8.404145077720207,1.1036269430051813,193,134,35,0.06756171502815071,0.646167171935903,0.10455764075067024,2.0285714285714285,5,ham
4,1730.5,1.117960877296977,2.989330171902786,0.15293420272673386,1687,78,90,0.0902136258660508,0.41700346420323325,0.21633783316026306,1.9777777777777779,1,spam
7,779.1428571428571,1.1546707503828484,3.031393568147014,0.3223583460949464,1306,78,96,0.07043541895353092,0.4590193926088547,0.15344758868074931,2.0729166666666665,1,spam
6,107.66666666666667,3.353846153846154,6.753846153846154,1.2307692307692308,65,55,3,0.04573170731707317,0.6905487804878049,0.06622516556291391,1.0,1,ham
5,89.4,6.074074074074074,10.814814814814815,1.2592592592592593,27,118,30,0.08791208791208792,0.5164835164835165,0.1702127659574468,2.3333333333333335,1,ham
22,213.3181818181818,2.4411764705882355,5.2973856209150325,1.1356209150326797,612,64,38,0.044139387539598736,0.6996832101372756,0.06308481738605494,2.1578947368421053,6,ham
18,187.88888888888889,2.557142857142857,5.578571428571428,0.969047619047619,420,87,35,0.04449648711943794,0.6817915690866511,0.06526406182911121,2.7142857142857144,5,ham
